C:\Users\qckit\Desktop\xray.py\venv\Lib\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\qckit\Desktop\xray.py\venv\Lib\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet18_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet18_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Epoch 1: 100%|█████████████████████████████████████████████████████████████████████████| 163/163 [32:48<00:00, 12.08s/it, loss=0.284]
Epoch 2: 100%|████████████████████████████████████████████████████████████████████████| 163/163 [39:20<00:00, 14.48s/it, loss=0.0143]
Epoch 3: 100%|████████████████████████████████████████████████████████████████████████| 163/163 [31:37<00:00, 11.64s/it, loss=0.0406]
Epoch 4: 100%|███████████████████████████████████████████████████████████████████████| 163/163 [28:20<00:00, 10.43s/it, loss=0.00773]
Epoch 5: 100%|████████████████████████████████████████████████████████████████████████| 163/163 [29:26<00:00, 10.84s/it, loss=0.0218]
Epoch 6: 100%|███████████████████████████████████████████████████████████████████████| 163/163 [23:23<00:00,  8.61s/it, loss=0.00182]
Epoch 7: 100%|███████████████████████████████████████████████████████████████████████| 163/163 [28:40<00:00, 10.56s/it, loss=0.00636]
Epoch 8: 100%|███████████████████████████████████████████████████████████████████████| 163/163 [32:29<00:00, 11.96s/it, loss=0.00943]
Epoch 9: 100%|██████████████████████████████████████████████████████████████████████| 163/163 [2:35:27<00:00, 57.23s/it, loss=0.0226]
Epoch 10: 100%|███████████████████████████████████████████████████████████████████████| 163/163 [35:25<00:00, 13.04s/it, loss=0.0171]
Epoch 11: 100%|█████████████████████████████████████████████████████████████████████| 163/163 [38:07<00:00, 14.03s/it, loss=0.000516]
Epoch 12: 100%|████████████████████████████████████████████████████████████████████████| 163/163 [38:11<00:00, 14.06s/it, loss=0.148]
Epoch 13: 100%|███████████████████████████████████████████████████████████████████████| 163/163 [37:23<00:00, 13.76s/it, loss=0.0234]
Epoch 14: 100%|██████████████████████████████████████████████████████████████████████| 163/163 [44:00<00:00, 16.20s/it, loss=0.00269]
Epoch 15: 100%|███████████████████████████████████████████████████████████████████████| 163/163 [44:20<00:00, 16.32s/it, loss=0.0109]
Epoch 16: 100%|███████████████████████████████████████████████████████████████████████| 163/163 [40:13<00:00, 14.81s/it, loss=0.0199]
Epoch 17: 100%|███████████████████████████████████████████████████████████████████████| 163/163 [39:19<00:00, 14.48s/it, loss=0.0146]
Epoch 18: 100%|████████████████████████████████████████████████████████████████████████| 163/163 [38:12<00:00, 14.07s/it, loss=0.005]
Epoch 19: 100%|██████████████████████████████████████████████████████████████████████| 163/163 [42:15<00:00, 15.56s/it, loss=0.00607]
Epoch 20: 100%|██████████████████████████████████████████████████████████████████████| 163/163 [39:53<00:00, 14.68s/it, loss=0.00228]
Epoch 21: 100%|██████████████████████████████████████████████████████████████████████| 163/163 [46:02<00:00, 16.95s/it, loss=0.00109]
Epoch 22: 100%|██████████████████████████████████████████████████████████████████████| 163/163 [45:52<00:00, 16.89s/it, loss=0.00228]
Epoch 23: 100%|████████████████████████████████████████████████████████████████████████| 163/163 [49:08<00:00, 18.09s/it, loss=0.119]
Epoch 24: 100%|█████████████████████████████████████████████████████████████████████| 163/163 [46:12<00:00, 17.01s/it, loss=0.000117]
Epoch 25: 100%|█████████████████████████████████████████████████████████████████████| 163/163 [53:05<00:00, 19.54s/it, loss=0.000225]
Epoch 26: 100%|█████████████████████████████████████████████████████████████████████| 163/163 [49:17<00:00, 18.14s/it, loss=0.000373]
Epoch 27: 100%|███████████████████████████████████████████████████████████████████████| 163/163 [47:13<00:00, 17.38s/it, loss=0.0122]
Epoch 28: 100%|███████████████████████████████████████████████████████████████████████| 163/163 [39:22<00:00, 14.50s/it, loss=0.0203]
Epoch 29: 100%|█████████████████████████████████████████████████████████████████████| 163/163 [43:58<00:00, 16.19s/it, loss=0.000591]
Epoch 30: 100%|█████████████████████████████████████████████████████████████████████| 163/163 [43:53<00:00, 16.16s/it, loss=0.000721]
Epoch 31: 100%|██████████████████████████████████████████████████████████████████████| 163/163 [47:28<00:00, 17.48s/it, loss=0.00674]
Epoch 32: 100%|█████████████████████████████████████████████████████████████████████| 163/163 [37:38<00:00, 13.85s/it, loss=0.000512]
Epoch 33: 100%|█████████████████████████████████████████████████████████████████████| 163/163 [38:18<00:00, 14.10s/it, loss=0.000728]
Epoch 34: 100%|███████████████████████████████████████████████████████████████████████| 163/163 [38:22<00:00, 14.12s/it, loss=0.0288]
Epoch 35: 100%|███████████████████████████████████████████████████████████████████████| 163/163 [37:39<00:00, 13.86s/it, loss=0.0271]
Epoch 36: 100%|██████████████████████████████████████████████████████████████████████| 163/163 [37:20<00:00, 13.74s/it, loss=6.67e-5]
Epoch 37: 100%|██████████████████████████████████████████████████████████████████████| 163/163 [37:23<00:00, 13.77s/it, loss=0.00306]
Epoch 38: 100%|██████████████████████████████████████████████████████████████████████| 163/163 [37:16<00:00, 13.72s/it, loss=0.00741]
Epoch 39: 100%|█████████████████████████████████████████████████████████████████████| 163/163 [37:16<00:00, 13.72s/it, loss=0.000216]
Epoch 40: 100%|██████████████████████████████████████████████████████████████████████| 163/163 [37:06<00:00, 13.66s/it, loss=0.00128]
Epoch 41: 100%|█████████████████████████████████████████████████████████████████████| 163/163 [37:12<00:00, 13.70s/it, loss=0.000997]
Epoch 42: 100%|███████████████████████████████████████████████████████████████████████| 163/163 [37:13<00:00, 13.70s/it, loss=0.0122]
Epoch 43: 100%|█████████████████████████████████████████████████████████████████████| 163/163 [37:13<00:00, 13.70s/it, loss=0.000518]
Epoch 44: 100%|██████████████████████████████████████████████████████████████████████| 163/163 [37:15<00:00, 13.71s/it, loss=8.19e-5]
Epoch 45: 100%|███████████████████████████████████████████████████████████████████████| 163/163 [37:45<00:00, 13.90s/it, loss=0.0101]
Epoch 46: 100%|█████████████████████████████████████████████████████████████████████| 163/163 [36:57<00:00, 13.60s/it, loss=0.000111]
Epoch 47: 100%|██████████████████████████████████████████████████████████████████████| 163/163 [36:47<00:00, 13.54s/it, loss=9.53e-5]
